team_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,total_goals_scored,total_home_goals,total_away_goals,total_goals_conceded,total_home_goals_conceded,total_away_goals_conceded
Arsenal,4,1245,1285,1250,1250,1240,1320,88,53,35,43,25,18
Aston Villa,3,1070,1100,1070,1075,1070,1130,51,33,18,46,21,25
Bournemouth,2,1035,1095,1020,1110,1050,1080,37,20,17,71,28,43
Brentford,3,1115,1180,1100,1160,1130,1200,58,35,23,46,18,28
Brighton,3,1170,1175,1140,1150,1200,1200,72,37,35,53,21,32
Chelsea,3,1165,1220,1190,1220,1140,1220,38,20,18,47,19,28
Crystal Palace,3,1085,1100,1110,1110,1060,1090,40,21,19,49,23,26
Everton,3,1055,1095,1070,1100,1040,1090,34,16,18,57,27,30
Fulham,3,1095,1100,1070,1065,1120,1140,55,31,24,53,29,24
Leeds,3,1100,1090,1070,1075,1130,1120,48,26,22,78,37,41
Leicester,3,1130,1115,1065,1110,1200,1120,51,23,28,68,27,41
Liverpool,4,1220,1275,1180,1250,1260,1300,75,46,29,47,17,30
Man City,5,1350,1360,1340,1340,1360,1380,94,60,34,33,17,16
Man Utd,3,1155,1220,1140,1220,1165,1220,58,36,22,43,10,33
Newcastle,4,1210,1260,1250,1300,1165,1220,68,36,32,33,14,19
Nott'm Forest,3,1050,1100,1065,1100,1030,1105,38,27,11,68,24,44
Southampton,2,1065,1070,1070,1070,1060,1080,36,19,17,73,37,36
Spurs,3,1155,1220,1140,1210,1170,1230,70,37,33,63,25,38
West Ham,3,1100,1130,1145,1150,1060,1110,42,26,16,55,24,31
Wolves,3,1080,1090,1100,1100,1060,1080,31,19,12,58,20,38
