name,Appearances 2021-2023,mean total - bonus 2021 - 2023,Std total - bonus 2021 - 2023
Trent Alexander-Arnold,69,4.507246376811594,3.328235658749318
Andrew Robertson,63,4.349206349206349,3.0856521774106427
Virgil van Dijk,66,4.303030303030303,3.234286020222401
Aymeric Laporte,45,4.2,3.08662805133251
Kieran Trippier,44,4.181818181818182,2.7725626402446415
Joel Matip,45,4.044444444444444,3.044783583558456
John Stones,37,3.945945945945946,2.9339577549971825
William Saliba,27,3.814814814814815,3.3631148226816925
Sergio Reguilón,25,3.8,2.645751311064591
Reece James,42,3.6666666666666665,4.44295367952154
Pedro Porro,15,3.6,3.6015869518072963
Gabriel dos Santos Magalhães,73,3.5753424657534247,3.282604860892481
Jakub Kiwior,7,3.5714285714285716,4.117326918327103
Ben Mee,58,3.5,3.1246052382239973
Oleksandr Zinchenko,42,3.4761904761904763,2.8562135538633906
Fabian Schär,61,3.459016393442623,2.820010463880133
Benjamin White,70,3.4571428571428573,2.4829021955424264
Nathan Aké,40,3.425,2.6591641254638354
Matt Doherty,27,3.4074074074074074,4.23592020026581
Sven Botman,36,3.361111111111111,2.192881701946131
Ben Davies,60,3.3,2.775803441485494
Pervis Estupiñán,35,3.2285714285714286,3.1723596180475013
Thiago Emiliano da Silva,59,3.1864406779661016,2.6747515274300127
Kristoffer Ajer,33,3.1818181818181817,3.066497854378687
Kyle Walker,47,3.1702127659574466,2.4166015387781234
Dan Burn,67,3.1194029850746268,2.3964771370651134
Tyrone Mings,71,3.084507042253521,3.1970811637815584
Raphaël Varane,46,3.0652173913043477,2.751986546422569
Ethan Pinnock,62,3.0483870967741935,2.6822269885659256
Rúben Gato Alves Dias,26,3.0384615384615383,2.181389818088811
