name,Appearances 2021-2023,mean total - bonus 2021 - 2023,Std total - bonus 2021 - 2023,Appearances 2023-24,mean total - bonus 2023-24,Effect size,SE,t,p-value,BH Stat Signf,Effect size label,Current Price (M),Average opposition strength 2023-24
Erling Haaland,35,6.628571428571429,4.359477264169033,10,6.8,0.03932319428238768,1.3785877562493698,0.12435085880565551,0.45188527280716834,False,Very small,14.0,3.1
Callum Wilson,49,4.040816326530612,3.384764785485282,9,4.444444444444445,0.11924849834313189,1.128254928495094,0.3577454950293956,0.36489434498581264,False,Very small,7.8,3.2222222222222223
Gabriel Fernando de Jesus,54,3.925925925925926,3.805913233585247,7,2.2857142857142856,-0.4309640129831673,1.4384999896508917,-1.1402236023718721,0.14882736699039542,False,Small,7.9,3.4285714285714284
Aleksandar Mitrović,24,3.875,3.603289559856925,1,1.0,-0.7978820331370086,3.603289559856925,-0.7978820331370086,,False,Medium,7.4,3.0
Alexander Isak,22,3.727272727272727,2.6935870610416983,8,4.75,0.3796897035627097,0.9523268382894639,1.0739246565436085,0.15923772308894424,False,Small,7.5,3.125
Ollie Watkins,72,3.6666666666666665,2.478072854139388,10,6.4,1.1030076572476701,0.7836354426914681,3.4880164735089685,0.0034257559800884487,False,Large,8.3,3.0
Dominic Solanke,33,3.515151515151515,2.77399995630421,10,3.8,0.10268510790749517,0.8772158091128863,0.32471882276785136,0.37640723524855374,False,Very small,6.4,3.1
Cody Gakpo,21,3.4761904761904763,2.8039088362328686,8,2.25,-0.4373146731253567,0.9913314759645709,-1.2369126835172728,0.12800176163845745,False,Small,7.2,3.125
Darwin Núñez Ribeiro,29,3.1724137931034484,2.854432211707177,9,4.777777777777778,0.5624109684896648,0.9514774039023924,1.687232905468994,0.06501992073313789,False,Medium,7.4,3.111111111111111
Taiwo Awoniyi,27,3.111111111111111,2.8193470784417354,8,3.875,0.2709453173502474,0.996789718842316,0.7663490849164043,0.23425962172196207,False,Small,6.5,3.375
Michail Antonio,69,2.9855072463768115,2.4222786648306536,10,2.8,-0.07658377587608439,0.7659917708496464,-0.24217916358428374,0.4070348611239307,False,Very small,5.8,3.2
Evan Ferguson,20,2.9,2.673456268775054,10,3.4,0.18702381850782773,0.8454211034184463,0.5914212431866891,0.28439661752338863,False,Very small,6.0,3.4
Danny Welbeck,56,2.892857142857143,2.386923249164622,8,1.75,-0.4787992840813466,0.8439048078280658,-1.3542488824047374,0.10887220367894622,False,Small,5.8,3.375
Julián Álvarez,31,2.870967741935484,2.952309101746981,10,4.8,0.6533977952793094,0.9336021118366252,2.0662252512150325,0.03439164856671863,False,Medium,7.1,3.1
Danny Ings,65,2.7384615384615385,2.5816475061777595,7,1.0,-0.6733922947658357,0.9757710391680625,-1.7816285467375033,0.06254716064547265,False,Medium,5.7,3.2857142857142856
Divock Origi,7,2.7142857142857144,2.138089935299395,4,0.75,-0.9187105190739588,1.0690449676496976,-1.8374210381479177,0.08172846899601784,False,Large,5.0,3.25
Dominic Calvert-Lewin,34,2.7058823529411766,1.9467052470965098,7,3.2857142857142856,0.2978529665124816,0.7357854228231298,0.7880448766548759,0.23033050528226828,False,Small,5.8,3.142857142857143
Anthony Martial,29,2.5517241379310347,2.229449113515196,8,1.125,-0.6399446972267977,0.788229293238466,-1.8100369399737626,0.05660434748860431,False,Medium,6.5,3.25
Odsonne Edouard,63,2.4603174603174605,2.270607399377879,9,3.6666666666666665,0.531289207759885,0.7568691331259596,1.5938676232796551,0.07481576030348602,False,Medium,5.5,3.111111111111111
Yoane Wissa,68,2.4558823529411766,2.228940070234922,10,3.7,0.5581655889598226,0.7048527389958031,1.7650745726423733,0.055684046331417575,False,Medium,5.9,3.1
Raúl Jiménez,49,2.4285714285714284,2.081665999466133,9,1.4444444444444444,-0.4727593112340666,0.6938886664887111,-1.4182779337021998,0.0969334520262339,False,Small,5.3,3.2222222222222223
Armando Broja,44,2.3181818181818183,1.9382649550411843,3,2.6666666666666665,0.17979216287148087,1.1190577935538457,0.31140916089610354,0.3924761779889084,False,Very small,4.9,2.6666666666666665
Carlos Vinícius Alves Morais,28,2.2142857142857144,2.131894355959869,5,2.0,-0.10051422749286933,0.9534121401548802,-0.2247566453799341,0.4165916612297405,False,Very small,4.8,2.6
Chris Wood,59,2.1864406779661016,1.5025791191651963,9,2.5555555555555554,0.2456542040824624,0.5008597063883987,0.7369626122473872,0.24109799399421566,False,Small,4.9,3.111111111111111
Neal Maupay,59,2.1186440677966103,1.8390847214055432,7,1.8571428571428572,-0.14219095379896232,0.6951086875453676,-0.3762019024351292,0.35985517295583236,False,Very small,4.9,3.142857142857143
João Pedro Junqueira de Jesus,28,2.0,1.49071198499986,10,2.4,0.26832815729997467,0.47140452079103173,0.8485281374238568,0.2090699449705824,False,Small,5.3,3.4
Kieffer Moore,27,2.0,2.0939473213563384,5,1.0,-0.4775669329409193,0.9364417103712739,-1.0678721258619792,0.17287053653319565,False,Small,4.7,3.2
Matheus Santos Carneiro Da Cunha,17,1.9411764705882353,1.2485285456935955,10,3.0,0.8480571253767819,0.39481939281293726,2.6817921021256117,0.012566085937223241,False,Large,5.5,3.4
Eddie Nketiah,30,1.9333333333333333,2.0998084203800236,10,4.2,1.079463557087958,0.6640177258401201,3.413563491545144,0.0038530117155642007,False,Large,5.5,3.2
Jay Rodriguez,29,1.9310344827586208,1.602030730995566,5,1.0,-0.5811589408026141,0.7164499233099529,-1.2995108973664216,0.13180181719271247,False,Medium,5.3,3.2
